state,county,cluster,(pop.15_19+pop.20_24+pop.25_29),emp.no/pop.base_count,hh.median_income,pov.below/pop.base_count,hh.male_only,eth.white,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
SC,aiken,1,0.195036282332253,0.0494056635599331,46912.4004015536,0.190207505109904,2618,105850,43.6666666666667,4.66666666666667,151177,48.3333333333333,0.000319713536671143,3.08688931958345e-05,0.000615160045876342,8.67613087943432e-05,92.9980502554478,13.1163143796024,21.5187974215759,35.5201591065545,0,0,21.5187974215759,35.5201591065545,DUI & DWI
SC,allendale,21,0.204240547988179,0.074115770710198,26005.9578281497,0.28182756356131,223,2624,0,0,10659,0,0,0,0.000216896215161045,0,2.31189675740158,0,0,0,0,0,0,0,DUI & DWI
SC,anderson,1,0.180870081940186,0.0486225550424792,41479.6122365579,0.178360342628879,3156,136416,64.6666666666667,18.3333333333333,171731,83,0.000483314020182728,0.000106756108875703,0.000615160045876342,8.67613087943432e-05,105.64204983839,18.3333333333333,308.449293013462,372.029189532813,27.2220214829129,32.8332300288038,335.671314496375,404.862419561617,DUI & DWI
SC,bamberg,13,0.234322580061097,0.0447741935483871,31168.7142857143,0.261677419354839,221,5388,1,2,15500,3,0.000193548387096774,0.000129032258064516,0.000234958955607442,3.18745418034616e-05,3.64186381191536,2,0,0,0,0,0,0,DUI & DWI
SC,barnwell,16,0.187109391421581,0.0666213171208707,34127.5905232621,0.26508226691042,471,11986,2.33333333333333,0,23521,2.33333333333333,9.92021314286524e-05,0,0.00027531307029136,3.16355583676052e-05,6.47563872632308,0.744099968364442,0,0,0,0,0,0,DUI & DWI
SC,beaufort,10,0.200679195058359,0.0357663916360905,59118.9924940293,0.123322965363531,2345,123396,67.6666666666667,13.6666666666667,161073,81.3333333333333,0.000504947032297985,8.48476570664647e-05,0.000632395869696096,7.609153304148e-05,101.861899919559,13.6666666666667,145.542664197603,173.369489620615,42.8560912559769,51.0499014783431,188.39875545358,224.419391098958,DUI & DWI
SC,berkeley,1,0.225116691664677,0.0586002820956508,52320.2967110277,0.152651553707231,2333,97368,38,3,137542,41,0.00029809076500269,2.18115193904407e-05,0.000615160045876342,8.67613087943432e-05,84.6103430299239,11.9333239341915,106.137386714443,184.574108444646,3.01471490000339,5.24262309547895,109.152101614446,189.816731540125,DUI & DWI
SC,calhoun,2,0.174627962017821,0.0404188866433952,41328.6216216216,0.190703656072019,234,5183,1,0,10886,1,9.18611060077163e-05,0,0.000293877766661053,4.58379171250458e-05,3.19915336787223,0.498991565823249,0,0,0,0,0,0,DUI & DWI
SC,charleston,5,0.243040258810133,0.0475758072831232,54631.1381504284,0.182368069550546,5834,241754,151,35.6666666666667,341392,186.666666666667,0.000546781022011842,0.000104474230991548,0.000785971759221617,0.000101992136735265,268.324470824186,35.6666666666667,1223.72111868185,1620.43428587371,209.500986694859,277.418258606505,1433.22210537671,1897.85254448022,DUI & DWI
SC,cherokee,16,0.195425904984866,0.0588810017546658,35347.5820184426,0.232273887382358,982,37609,11.6666666666667,1,50152,12.6666666666667,0.00025256553410964,1.99393842718137e-05,0.00027531307029136,3.16355583676052e-05,13.8075011012523,1.58658652325214,0,0,0,0,0,0,DUI & DWI
SC,chester,16,0.184729283994351,0.0683257514940683,33421.496941896,0.250676418993251,730,19946,7.66666666666667,1,33633,8.66666666666667,0.000257683426000258,2.97327030000297e-05,0.00027531307029136,3.16355583676052e-05,9.25960449310931,1.06399873457767,4.51574625822405,4.51574625822405,0,0,4.51574625822405,4.51574625822405,DUI & DWI
SC,chesterfield,16,0.18670105387486,0.0488674590715407,33563.6758608776,0.25839874411303,894,27789,13,2,44590,15,0.000336398295581969,4.48531060775959e-05,0.00027531307029136,3.16355583676052e-05,15,2,0,0,0,0,0,0,DUI & DWI
SC,clarendon,14,0.201466912069829,0.0714226849435486,32497.4584669193,0.238634178501772,592,16392,8,0,36403,8,0.000219762107518611,0,0.000388223065459418,4.00272185085858e-05,14.1324842519192,1.45711083536805,0,0,0,0,0,0,DUI & DWI
SC,colleton,14,0.180254574052877,0.0636434143893426,33458.4554983019,0.209065194580045,1098,23712,6,1,43838,7,0.0001596788174643,2.28112596377572e-05,0.000388223065459418,4.00272185085858e-05,17.01892274361,1.75471320497939,0,0,0,0,0,0,DUI & DWI
SC,darlington,14,0.185688914455274,0.0751073938584374,36755.8801307807,0.24399277463228,1523,37417,14,6,65879,20,0.000303586878975091,9.10760636925272e-05,0.000388223065459418,4.00272185085858e-05,25.575747329401,6,23.2541927227978,23.2541927227978,0,0,23.2541927227978,23.2541927227978,DUI & DWI
SC,dillon,21,0.199152671369838,0.0569660763814807,28077.4669455381,0.302447499161815,768,14768,6,1,32809,7,0.000213356091316407,3.04794416166296e-05,0.000216896215161045,0,7.11614792321874,1,0,0,0,0,0,0,DUI & DWI
SC,dorchester,1,0.209361614039867,0.0546411254375856,52646.9650220474,0.130161335913548,2913,129053,45.6666666666667,5,183964,50.6666666666667,0.000275416204619744,2.71792307190537e-05,0.000615160045876342,8.67613087943432e-05,113.167302679595,15.9609574110425,154.295236385104,284.491036250492,164.65179655563,303.586561193011,318.947032940733,588.077597443504,DUI & DWI
SC,edgefield,10,0.18579881679645,0.0417159763313609,51321.3275558905,0.14198224852071,723,22158,1,0,33800,1,2.9585798816568e-05,0,0.000632395869696096,7.609153304148e-05,21.374980395728,2.57189381680202,0,0,0,0,0,0,DUI & DWI
SC,fairfield,14,0.175772378725029,0.067832197797489,38399.2486157855,0.226164459870592,470,9522,2.5,1,23337,3.5,0.000149976432274928,4.28504092214081e-05,0.000388223065459418,4.00272185085858e-05,9.05996167862644,1,36.3530372212994,36.3530372212994,0,0,36.3530372212994,36.3530372212994,DUI & DWI
SC,florence,14,0.198747086317705,0.063340232841199,42867.2170178571,0.205348608522841,2762,81519,43,9.66666666666667,145421,52.6666666666667,0.000362166858064975,6.64736638220523e-05,0.000388223065459418,4.00272185085858e-05,56.4557864021741,9.66666666666667,36.3457401868302,38.3728732272416,23.6769806600022,24.9975312815153,60.0227208468324,63.3704045087569,DUI & DWI
SC,georgetown,2,0.163846511361087,0.050634735140154,38889.7306325228,0.229112971649031,1114,35228,17,4.66666666666667,62467,21.6666666666667,0.000346849803362842,7.47061114935353e-05,0.000293877766661053,4.58379171250458e-05,21.6666666666667,4.66666666666667,41.3495161841434,41.3495161841434,0,0,41.3495161841434,41.3495161841434,DUI & DWI
