state,county,cluster,mar.yes,hh.married_couple,hh.median_income,fer.birth_count,fer.unmarried_birth_pml,emp.no,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
TX,denton,7,320690,150189,77193.9360330397,0,0,26952,534,161.666666666667,715299,695.666666666667,0.000972553668698917,0.000226012711700515,0.00117985280977259,0.000396463058326557,843.947534977526,283.589629157928,2014.63705164343,2341.50999454859,503.301663735083,584.961879335677,2517.93871537852,2926.47187388426,Divorce & Separation
TX,dickens,9,1072,509,38801.1536863967,30,37.3746581586144,113,1.5,0,2510,1.5,0.000597609561752988,0,0.000362947767082216,8.27403607479729e-05,1.5,0.207678305477412,0,0,0,0,0,0,Divorce & Separation
TX,dimmit,6,3334,1536,37976.1366969786,92,15.1415241057543,519,3,0,9962,3,0.000301144348524393,0,0.000322414237812742,7.85360873321291e-05,3.21189063709053,0.78237650200267,0,0,0,0,0,0,Divorce & Separation
TX,donley,22,1471,678,40110.0792207792,7,14.4327641408751,66,1.5,0,3726,1.5,0.000402576489533011,0,0.000416927246195539,9.03913947392208e-05,1.55347091932458,0.336798336798337,0.559313291097385,0.559313291097385,0,0,0.559313291097385,0.559313291097385,Divorce & Separation
TX,duval,3,4266,1937,33271.094566474,256,63.9910714285714,688,0,0,12620,0,0,0,0.000284900284900285,6.92424871901399e-05,3.5954415954416,0.873840188339565,NA,NA,NA,NA,NA,NA,Divorce & Separation
TX,eastland,15,7989,3708,36297.2957695553,208,40.4002674818494,354,5,1,20509,6,0.000292554488273441,4.87590813789068e-05,0.000295050527402818,7.12149266486255e-05,6.05119126650439,1.46054693063666,0.532227304779543,0.532227304779543,0,0,0.532227304779543,0.532227304779543,Divorce & Separation
TX,ector,10,51375,23189,53742.1498794365,3569,91.0047361700864,3544,58.3333333333333,11.3333333333333,132971,69.6666666666667,0.000523923762825478,8.52316169189773e-05,0.000390225523440444,7.75113683340223e-05,69.6666666666667,11.3333333333333,114.36323080968,114.36323080968,0,0,114.36323080968,114.36323080968,Divorce & Separation
TX,edwards,22,911,442,44001.2222222222,3,0,102,1,0,1940,1,0.000515463917525773,0,0.000416927246195539,9.03913947392208e-05,1,0.175359305794088,0,0,0,0,0,0,Divorce & Separation
TX,el paso,11,296128,128674,42458.0497907689,12031,41.4903831947509,31684,352.666666666667,110.666666666667,800875,463.333333333333,0.000578533895218771,0.00013818219655585,0.00147528494517551,0.000504450060711452,1181.51883046744,404.001442372284,654.965566600769,1330.68360247355,0,0,654.965566600769,1330.68360247355,Divorce & Separation
TX,ellis,2,70502,32929,63076.5916068053,1513,22.9296718185468,6121,87.3333333333333,9.33333333333333,157209,96.6666666666667,0.000614892701223636,5.93689504629718e-05,0.000706333456661397,0.000191256830601093,111.041976388282,30.0672950819672,114.55960328695,127.634053714973,0,0,114.55960328695,127.634053714973,Divorce & Separation
TX,erath,9,14916,6858,39387.1776064458,539,18.6288248569779,945,12.3333333333333,1,37446,13.3333333333333,0.00035606829389877,2.67051220424077e-05,0.000362947767082216,8.27403607479729e-05,13.5909420861606,3.09829554856859,0,0,0,0,0,0,Divorce & Separation
TX,falls,15,4990,2119,33209.1922719673,137,34.7386088221037,535,1,0,15632,1,6.3971340839304e-05,0,0.000295050527402818,7.12149266486255e-05,4.61222984436085,1.11323173337131,0,0,0,0,0,0,Divorce & Separation
TX,fannin,19,13845,6189,45510.6797006391,265,47.7385759148882,1174,6,1,33262,7,0.000210450363778486,3.00643376826409e-05,0.000413172925021266,0.000103665616188423,13.7429578320574,3.44812572565931,11.5638812856567,11.5638812856567,0,0,11.5638812856567,11.5638812856567,Divorce & Separation
TX,fayette,16,11369,5434,48709.0632161201,176,31.4089314194577,339,10,2,24660,12,0.00048661800486618,8.110300081103e-05,0.000426491196003168,0.000113756447446018,12,2.80523399401881,8.16157825815823,8.16157825815823,0,0,8.16157825815823,8.16157825815823,Divorce & Separation
TX,fisher,3,1520,727,39659.3306066803,39,62.0463169642857,61,1,0,3510,1,0.000284900284900285,0,0.000284900284900285,6.92424871901399e-05,1,0.243041130037391,0,0,0,0,0,0,Divorce & Separation
TX,floyd,22,2646,1288,40235.3819095477,63,12.7546012269939,190,1.5,0,6425,1.5,0.000233463035019455,0,0.000416927246195539,9.03913947392208e-05,2.67875755680634,0.580764711199494,0,0,0,0,0,0,Divorce & Separation
TX,foard,1,500,226,34653,32,274,50,0,0,1406,0,0,0,0.000142836737608913,0,0.200828453078132,0,NA,NA,NA,NA,NA,NA,Divorce & Separation
TX,fort bend,7,263916,120609,88648.4805307033,8658,27.6519675344073,17038,414.333333333333,117,539083,531.333333333333,0.000985624353454539,0.000217035224631458,0.00117985280977259,0.000396463058326557,636.038592250639,213.726494871856,1717.78168132304,1975.97504891074,258.115414495449,296.911781239531,1975.89709581849,2272.88683015027,Divorce & Separation
TX,franklin,22,4371,2006,44844.6823248408,41,10.2103134479272,280,2,1,9709,3,0.000308991657225255,0.000102997219075085,0.000416927246195539,9.03913947392208e-05,4.04794663331249,1,0,0,0,0,0,0,Divorce & Separation
TX,freestone,16,7348,3369,45854.7274671555,103,30.4380661098694,395,4.66666666666667,1.5,18052,6.16666666666667,0.000341605731590221,8.30932860624862e-05,0.000426491196003168,0.000113756447446018,7.69901907024919,2.05353138929552,0.749698522761531,0.749698522761531,0,0,0.749698522761531,0.749698522761531,Divorce & Separation
TX,frio,4,6022,2437,36698.9995662546,306,90.0207156308851,501,5,1.33333333333333,16635,6.33333333333333,0.000380723374411382,8.01522893497646e-05,0.000343288705801579,6.93721817551162e-05,6.33333333333333,1.33333333333333,0,0,0,0,0,0,Divorce & Separation
TX,gaines,21,7532,3392,53070.7837537092,226,46.3771135984758,241,1.5,0,16825,1.5,8.91530460624071e-05,0,0.000437306193845909,0.000117834207270371,7.35767671145742,1.98256053732398,2.53878342901016,2.53878342901016,0,0,2.53878342901016,2.53878342901016,Divorce & Separation
