state,county,cluster,hh.median_income,emp.military,eth.white,hh.families,(pop.25_29+pop.20_24+pop.15_19+pop.10_14+pop.5_9),others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
AL,blount,16,42453.2785420341,11,42176,12153,0.324887962294161,7,1.5,45074,8.5,0.000188578781559214,3.32786085104495e-05,0.000202204023860075,6.03889045452715e-05,9.11414417146901,2.72196948347357,0,0,0,0,0,0,Real Estate
AL,bullock,11,31869,0,2093,1641,0.327625572,1,0,8760,1,0.000114155251141553,0,0.000150889303834474,4.82788586877806e-05,1.32179030159,0.422922802104958,0,0,0,0,0,0,Real Estate
AL,butler,11,31229.5809670904,22,10929,5299,0.316814929222394,1.5,0,20684,1.5,7.25198220847032e-05,0,0.000150889303834474,4.82788586877806e-05,3.12099436051227,0.998599913098054,0,0,0,0,0,0,Real Estate
AL,calhoun,16,40457.2093893953,246,96301,33428,0.339627939790585,21.6666666666667,8.66666666666667,128205,30.3333333333333,0.000236600236600237,6.76000676000676e-05,0.000202204023860075,6.03889045452715e-05,30.3333333333333,8.66666666666667,0,0,0,0,0,0,Real Estate
AL,chambers,11,34157.0236186659,8,21414,9119,0.305531346385132,2.66666666666667,2.5,34422,5.16666666666667,0.000150097805666918,7.26279704839928e-05,0.000150889303834474,4.82788586877806e-05,5.19391161659028,2.5,0,0,0,0,0,0,Real Estate
AL,cherokee,21,35905.0937782805,0,20285,7209,0.277460405877711,2,0,21531,2,9.28893223723933e-05,0,0.000235737859500236,5.63549611150768e-05,5.07567185289958,1.21337866776872,0,0,0,0,0,0,Real Estate
AL,chilton,16,41694.7360642462,29,32199,10673,0.326517489990175,4.5,2.5,38880,7,0.000180041152263374,6.43004115226338e-05,0.000202204023860075,6.03889045452715e-05,7.86169244767971,2.5,0,0,0,0,0,0,Real Estate
AL,choctaw,21,35226.4306744266,0,7416,3499,0.292168238295359,0,1,13790,1,7.25163161711385e-05,7.25163161711385e-05,0.000235737859500236,5.63549611150768e-05,3.25082508250825,1,0,0,0,0,0,0,Real Estate
AL,clarke,11,31592.7691155826,0,14160,6588,0.319684686467628,2,0,26767,2,7.47188702506818e-05,0,0.000150889303834474,4.82788586877806e-05,4.03885399573738,1.29228021049582,0,0,0,0,0,0,Real Estate
AL,clay,21,34808.3509970458,3,10921,3620,0.294245957126363,2,1,13295,3,0.000225648740127868,7.52162467092892e-05,0.000235737859500236,5.63549611150768e-05,3.13413484205563,1,0,0,0,0,0,0,Real Estate
AL,cleburne,16,37149.9549390352,0,13734,3972,0.312222530183962,1,1,14416,2,0.00013873473917869,6.93673695893452e-05,0.000202204023860075,6.03889045452715e-05,2.91497320796684,1,0,0,0,0,0,0,Real Estate
AL,coffee,20,47576.2592113125,1621,39368,13167,0.337708807017041,8.33333333333333,1.33333333333333,50585,9.66666666666667,0.000191097492669105,2.6358274850911e-05,0.000274232345313369,7.94028902652057e-05,13.8720431876768,4.01659520406543,0,0,0,0,0,0,Real Estate
AL,colbert,7,40503.8801897447,38,41996,15007,0.300764978041411,6.66666666666667,1.66666666666667,52812,8.33333333333333,0.000157792420914439,3.15584841828877e-05,0.000237561545682702,7.22560755316843e-05,12.5461003505949,3.81598786097931,0,0,0,0,0,0,Real Estate
AL,conecuh,11,24264.8633969119,0,6443,3139,0.303305595669822,1,0,13099,1,7.63417054737003e-05,0,0.000150889303834474,4.82788586877806e-05,1.97649899092778,0.632404769951238,0.296467300429806,0.527370588128335,0,0,0.296467300429806,0.527370588128335,Real Estate
AL,coosa,21,33480.9953529542,0,6807,2568,0.284521865419343,2.33333333333333,0,11022,2.33333333333333,0.000211697816488236,0,0.000235737859500236,5.63549611150768e-05,2.5983026874116,0.621144381410377,0,0,0,0,0,0,Real Estate
AL,covington,21,36219.7635757089,13,33268,10691,0.298005494572682,4.66666666666667,1,39308,5.66666666666667,0.000144160645839693,2.54401139717106e-05,0.000235737859500236,5.63549611150768e-05,9.26638378123527,2.21520081151144,0,0,0,0,0,0,Real Estate
